genename	familyname
Sb06g026410	bZIP
Sb09g003310	MYB-related
Sb09g002675	MYB
Sb10g019770	MADS
Sb10g019790	MADS
Sb10g026680	CCAAT
Sb04g034800	GRF
Sb09g026440	HSF
Sb10g000590	MYB-related
Sb09g015900	WRKY
Sb01g008510	Orphans
Sb06g027405	G2-like
Sb04g027660	AP2-EREBP
Sb05g008290	NAC
Sb03g028030	bHLH
Sb01g014420	ABI3-VP1
Sb08g003180	G2-like
Sb04g030830	G2-like
Sb06g030670	AP2-EREBP
Sb01g019780	Orphans
Sb03g038080	Homeobox
Sb03g030910	TUB
Sb01g008380	HSF
Sb07g025330	bHLH
Sb01g006020	TCP
Sb03g045610	NAC
Sb08g018760	C2C2-Dof
Sb01g000730	HSF
Sb03g003110	C3H
Sb07g024850	bZIP
Sb01g007130	G2-like
Sb09g026800	AP2-EREBP
Sb01g037830	C3H
Sb02g038340	Orphans
Sb01g014480	ABI3-VP1
Sb01g020090	C2C2-GATA
Sb01g042030	Homeobox
Sb07g023575	AP2-EREBP
Sb04g004430	ARF
Sb01g012280	bHLH
Sb01g028930	AP2-EREBP
Sb03g037750	AP2-EREBP
Sb02g029870	bZIP
Sb02g025080	AP2-EREBP
Sb02g005810	AP2-EREBP
Sb04g006180	bZIP
Sb03g003050	C2C2-Dof
Sb03g006510	bHLH
Sb06g027290	WRKY
Sb06g033010	C2C2-Dof
Sb01g048970	Homeobox
Sb03g012625	G2-like
Sb01g042400	ARR-B
Sb09g025580	VOZ
Sb10g024870	AP2-EREBP
Sb01g036870	WRKY
Sb03g005480	MYB-related
Sb10g024170	Orphans
Sb05g001730	MYB
Sb06g024980	NAC
Sb01g007950	MYB-related
Sb04g030770	GRF
Sb08g021910	CCAAT-HAP2
Sb10g025600	WRKY
Sb10g001490	AP2-EREBP
Sb04g034830	Orphans
Sb07g023030	AP2-EREBP
Sb01g010420	C2C2-CO-like
Sb04g007500	Orphans
Sb10g029250	C3H
Sb09g022270	Homeobox
Sb01g033153	Orphans
Sb09g030390	MYB-related
Sb01g014354	G2-like
Sb08g012360	C3H
Sb04g022810	C3H
Sb08g006330	NAC
Sb08g021725	TCP
Sb06g025750	Homeobox
Sb02g030320	AP2-EREBP
Sb04g022260	bHLH
Sb01g032800	GRAS
Sb03g030330	MYB-related
Sb09g029550	ZF-HD
Sb04g020050	HSF
Sb03g044660	bHLH
Sb02g033620	CAMTA
Sb02g020900	AP2-EREBP
Sb02g032860	GRF
Sb09g002060	C2H2
Sb02g043320	G2-like
Sb07g024970	MYB
Sb09g002080	AP2-EREBP
Sb10g024190	bZIP
Sb05g007050	ZF-HD
Sb04g032590	GRAS
Sb03g008560	bHLH
Sb08g020800	CPP
Sb09g004820	bHLH
Sb10g006440	ARF
Sb01g041425	MYB-related
Sb02g040160	MYB
Sb01g009790	Orphans
Sb01g028230	bHLH
Sb08g003670	E2F-DP
Sb03g008470	NAC
Sb03g003640	WRKY
Sb07g019400	WRKY
Sb07g004410	CCAAT
Sb09g028990	bZIP
Sb05g003400	NAC
Sb06g021350	bZIP
Sb04g002940	NLP
Sb02g026530	bHLH
Sb04g029720	Orphans
Sb01g007110	C2C2-Dof
Sb10g007380	MADS
Sb02g027410	bZIP
Sb04g029710	PHD
Sb10g031265	PHD
Sb05g007460	PHD
Sb10g007090	bZIP
Sb01g014810	AP2-EREBP
Sb08g018580	MYB
Sb03g045150	CCAAT
Sb05g026820	MYB
Sb06g023940	C2C2-GATA
Sb07g020820	G2-like
Sb04g038140	TCP
Sb01g000900	CCAAT
Sb07g003870	MYB-related
Sb02g027950	WRKY
Sb03g025860	bHLH
Sb07g021110	MADS
Sb04g008260	bHLH
Sb03g041760	GRAS
Sb04g031230	Orphans
Sb01g015165	GRAS
Sb03g034950	bZIP
Sb01g010690	TCP
Sb01g036810	bZIP
Sb03g009030	Orphans
Sb10g023950	GRAS
Sb03g032730	ABI3-VP1
Sb01g024673	GeBP
Sb10g012170	C3H
Sb01g014410	ABI3-VP1
Sb01g019130	ARF
Sb03g041920	NAC
Sb06g026970	bHLH
Sb04g029270	bHLH
Sb01g029170	C2C2-GATA
Sb01g016710	MYB-related
Sb03g003005	MYB-related
Sb03g043030	GRAS
Sb02g004590	bZIP
Sb10g025450	bZIP
Sb01g013843	bHLH
Sb01g045050	AP2-EREBP
Sb02g034550	GRAS
Sb10g002750	Homeobox
Sb04g028920	C2C2-CO-like
Sb01g040450	bHLH
Sb09g027010	Orphans
Sb03g046090	bHLH
Sb06g013785	ABI3-VP1
Sb09g021590	TUB
Sb10g006690	GRF
Sb05g003450	ABI3-VP1
Sb01g018060	MYB
Sb07g025490	bZIP
Sb07g006190	AP2-EREBP
Sb09g000900	E2F-DP
Sb09g025450	C2C2-Dof
Sb08g022760	bHLH
Sb02g027300	Homeobox
Sb02g024750	bHLH
Sb04g031820	MYB-related
Sb04g006320	Orphans
Sb01g013830	MYB
Sb04g032960	AP2-EREBP
Sb01g047450	MYB
Sb10g009650	MYB-related
Sb04g026480	MYB
Sb03g009590	C3H
Sb08g022560	NAC
Sb03g043080	ARR-B
Sb06g017550	Orphans
Sb02g037860	HRT
Sb03g012890	AP2-EREBP
Sb04g025960	AP2-EREBP
Sb01g020500	Orphans
Sb07g000470	NAC
Sb09g028660	WRKY
Sb10g000320	Orphans
Sb01g028790	Trihelix
Sb09g021770	MYB-related
Sb10g009670	NAC
Sb01g002900	NAC
Sb02g030350	AP2-EREBP
Sb03g030782	Homeobox
Sb05g004870	NAC
Sb09g003030	MADS
Sb02g001600	G2-like
Sb07g015070	AP2-EREBP
Sb02g034180	SBP
Sb01g032770	MYB
Sb06g017810	Alfin-like
Sb09g026070	Orphans
Sb03g039550	WRKY
Sb04g034360	GeBP
Sb07g026610	bHLH
Sb07g001510	Orphans
Sb05g013190	C3H
Sb03g042810	AP2-EREBP
Sb01g011980	C2C2-GATA
Sb01g007160	bHLH
Sb05g002930	Orphans
Sb04g017390	bHLH
Sb08g002920	Orphans
Sb06g019010	NAC
Sb03g034630	HSF
Sb04g033590	C2C2-YABBY
Sb02g035580	bHLH
Sb02g027870	CCAAT
Sb06g024820	GRAS
Sb04g000807	Orphans
Sb09g020320	bZIP
Sb02g025720	ZIM
Sb09g023920	bZIP
Sb02g027480	C2C2-Dof
Sb09g028530	C3H
Sb04g005520	WRKY
Sb03g037680	MYB
Sb02g020910	AP2-EREBP
Sb03g039950	MYB
Sb04g022830	ARF
Sb04g031030	G2-like
Sb08g020280	bHLH
Sb01g009740	GRAS
Sb01g041690	MYB
Sb10g009580	MYB-related
Sb06g019650	MYB
Sb01g040270	GRAS
Sb04g024010	MADS
Sb03g040720	NAC
Sb01g014370	ABI3-VP1
Sb03g014780	Orphans
Sb01g028160	Homeobox
Sb03g000260	NLP
Sb04g003240	ARF
Sb09g025040	CPP
Sb03g032600	MYB
Sb01g046350	HSF
Sb07g023360	ZF-HD
Sb09g007370	MYB
Sb02g002620	NAC
Sb03g044160	SBP
Sb01g020596	MYB-related
Sb09g016570	MYB
Sb02g002670	MYB
Sb03g000330	NAC
Sb01g027416	bHLH
Sb10g005630	Orphans
Sb07g028945	bHLH
Sb06g000533	NAC
Sb01g047720	BZR
Sb04g025400	Orphans
Sb09g028430	NAC
Sb04g007750	C2C2-GATA
Sb01g003710	NAC
Sb01g047840	MYB-related
Sb08g021690	TCP
Sb01g023320	ZIM
Sb04g004060	WHIRLY
Sb09g018550	GRAS
Sb03g044440	NAC
Sb10g028750	ZIM
Sb02g006700	MADS
Sb03g030670	C3H
Sb05g027788	GRAS
Sb06g014800	AP2-EREBP
Sb02g038040	GRAS
Sb01g049020	MADS
Sb02g024760	WRKY
Sb09g001140	GRAS
Sb01g027411	bHLH
Sb01g045070	AP2-EREBP
Sb01g010570	GeBP
Sb09g028562	Homeobox
Sb04g010300	MYB-related
Sb07g004900	bZIP
Sb01g013430	CCAAT-HAP2
Sb01g023431	ZIM
Sb04g033380	Homeobox
Sb04g000300	bZIP
Sb03g011800	WRKY
Sb04g006400	bZIP
Sb08g019720	G2-like
Sb05g023886	MADS
Sb01g011590	C3H
Sb10g010050	C2C2-CO-like
Sb02g030170	bZIP
Sb03g033020	Trihelix
Sb06g023980	Trihelix
Sb07g022265	AP2-EREBP
Sb01g044410	AP2-EREBP
Sb06g024540	AP2-EREBP
Sb01g038250	MYB
Sb03g010920	GRAS
Sb09g030060	bHLH
Sb09g029070	AP2-EREBP
Sb09g002680	MYB
Sb10g001620	AP2-EREBP
Sb10g029200	G2-like
Sb05g004170	AP2-EREBP
Sb10g027100	NAC
Sb07g004655	AP2-EREBP
Sb04g031110	MYB
Sb09g028790	MYB-related
Sb09g027200	MYB
Sb02g039710	CAMTA
Sb06g001940	Homeobox
Sb03g032420	bHLH
Sb04g004410	MADS
Sb05g001175	WRKY
Sb10g022340	HSF
Sb01g030760	NAC
Sb04g017850	ARID
Sb02g032230	NAC
Sb03g002525	MADS
Sb02g032210	ARF
Sb09g018370	Alfin-like
Sb03g045130	CCAAT
Sb01g005070	WRKY
Sb04g034760	CCAAT-HAP2
Sb02g006680	NAC
Sb01g046810	E2F-DP
Sb04g006330	Orphans
Sb06g002020	Orphans
Sb01g012250	bHLH
Sb04g008030	Homeobox
Sb03g009330	NAC
Sb04g005180	SBP
Sb10g029130	ARF
Sb06g017460	bHLH
Sb03g024500	MYB
Sb04g033570	NAC
Sb07g021400	NAC
Sb06g017720	NAC
Sb01g014460	ABI3-VP1
Sb09g022790	Orphans
Sb09g006015	NAC
Sb01g003420	Alfin-like
Sb0012s017770	WHIRLY
Sb07g019330	CCAAT
Sb09g028350	Trihelix
Sb01g032120	WRKY
Sb03g035350	TCP
Sb04g004930	G2-like
Sb03g009480	GeBP
Sb02g034873	MYB-related
Sb06g023770	C2C2-YABBY
Sb10g000800	Homeobox
Sb01g003210	C2C2-Dof
Sb01g035400	Orphans
Sb06g024630	SBP
Sb08g001980	C3H
Sb01g012200	Homeobox
Sb01g002770	C3H
Sb03g029470	GRAS
Sb06g028420	MADS
Sb08g019780	bHLH
Sb03g005080	MYB-related
Sb03g036820	Homeobox
Sb01g003830	bHLH
Sb01g042070	bHLH
Sb08g018840	MYB
Sb03g009920	C3H
Sb04g002360	bZIP
Sb05g001170	WRKY
Sb03g037940	NAC
Sb04g034665	Orphans
Sb04g010380	CPP
Sb06g020103	NAC
Sb08g021080	NAC
Sb08g001820	MYB-related
Sb01g007780	MADS
Sb04g038320	Orphans
Sb07g002200	bHLH
Sb02g023960	NAC
Sb01g021660	Orphans
Sb07g004075	C3H
Sb04g032570	GRAS
Sb02g040480	MYB
Sb04g031890	GRF
Sb02g007000	AP2-EREBP
Sb07g021200	NAC
Sb05g000480	G2-like
Sb07g025210	AP2-EREBP
Sb03g002990	Orphans
Sb05g025230	bHLH
Sb01g022380	AP2-EREBP
Sb08g006430	MADS
Sb06g026500	MYB-related
Sb02g003390	C2C2-YABBY
Sb07g028860	bHLH
Sb04g030530	bHLH
Sb02g029040	bHLH
Sb02g035680	GRAS
Sb01g037110	MYB
Sb01g010070	Orphans
Sb09g006360	MADS
Sb10g030770	NAC
Sb01g030520	ABI3-VP1
Sb04g031590	MYB-related
Sb09g002510	bZIP
Sb04g007060	bZIP
Sb03g043810	C3H
Sb08g020275	bHLH
Sb07g026200	MADS
Sb01g048290	NLP
Sb03g039060	Orphans
Sb06g017060	ZF-HD
Sb10g021663	MADS
Sb09g019190	AP2-EREBP
Sb01g031720	GRAS
Sb09g028750	WRKY
Sb04g022750	Orphans
Sb10g008210	Orphans
Sb10g024180	ARR-B
Sb03g043210	JUMONJI
Sb10g026360	PHD
Sb03g046950	PHD
Sb03g024590	JUMONJI
Sb07g006270	PHD
Sb06g023620	MYB
Sb02g007960	NAC
Sb10g027280	MYB
Sb07g015180	Orphans
Sb02g026920	bHLH
Sb03g047170	AP2-EREBP
Sb08g004000	TUB
Sb03g044230	Orphans
Sb03g031430	MYB
Sb03g037560	bZIP
Sb07g021170	bHLH
Sb02g034440	Orphans
Sb06g030660	AP2-EREBP
Sb01g022420	Homeobox
Sb02g000960	WRKY
Sb06g026300	MADS
Sb07g029070	Trihelix
Sb3113s002020	ABI3-VP1
Sb04g036020	AP2-EREBP
Sb07g006210	AP2-EREBP
Sb01g002530	SBP
Sb10g009660	MYB-related
Sb04g000870	Orphans
Sb03g041720	Orphans
Sb05g024730	Orphans
Sb02g024250	MYB
Sb07g004450	MYB-related
Sb09g020850	GRAS
Sb01g048420	G2-like
Sb07g005740	WRKY
Sb04g028850	MYB
Sb01g013670	MYB-related
Sb02g003130	ZIM
Sb10g008120	NLP
Sb01g007480	WRKY
Sb09g003090	bHLH
Sb03g030880	Trihelix
Sb03g037830	NAC
Sb01g011290	C3H
Sb03g039470	MYB
Sb09g003100	MYB
Sb03g030740	ARF
Sb04g023320	bHLH
Sb04g021490	HSF
Sb04g026190	Orphans
Sb0012s004780	bHLH
Sb09g011040	ABI3-VP1
Sb02g024640	MYB
Sb06g024360	AP2-EREBP
Sb01g003775	NAC
Sb05g023590	bHLH
Sb02g030300	AP2-EREBP
Sb10g023600	AP2-EREBP
Sb10g024950	MYB
Sb04g030480	ZF-HD
Sb02g031340	bZIP
Sb07g000420	TUB
Sb05g027783	GRAS
Sb01g007790	MADS
Sb05g003660	Orphans
Sb02g043350	EIL
Sb10g005520	AP2-EREBP
Sb01g010660	GRAS
Sb01g006190	bHLH
Sb04g004940	SBP
Sb05g024550	NAC
Sb10g026150	AP2-EREBP
Sb08g003550	ABI3-VP1
Sb03g024260	bZIP
Sb06g019040	MADS
Sb05g027830	GRAS
Sb09g016150	AP2-EREBP
Sb03g008570	bHLH
Sb04g036450	bHLH
Sb02g036430	ABI3-VP1
Sb05g001790	AP2-EREBP
Sb08g019900	ABI3-VP1
Sb02g020700	G2-like
Sb01g003670	AP2-EREBP
Sb06g031120	AP2-EREBP
Sb01g005130	bHLH
Sb05g004580	NAC
Sb06g016710	AP2-EREBP
Sb01g029650	GRAS
Sb06g025600	G2-like
Sb05g023915	MADS
Sb01g049740	Trihelix
Sb02g029530	bHLH
Sb09g002210	Orphans
Sb10g028110	AP2-EREBP
Sb09g006370	Orphans
Sb02g004570	bHLH
Sb06g014570	Orphans
Sb02g030110	bHLH
Sb03g004400	bZIP
Sb05g023351	MADS
Sb10g020490	bHLH
Sb03g042530	GRAS
Sb10g026930	G2-like
Sb09g020880	NAC
Sb03g033380	MADS
Sb07g005610	NAC
Sb03g029990	AP2-EREBP
Sb05g001690	ZF-HD
Sb05g027370	MYB-related
Sb08g021375	GRAS
Sb04g028015	NAC
Sb01g050320	MYB-related
Sb02g004610	bZIP
Sb05g003240	bZIP
Sb06g002000	Orphans
Sb03g005320	Alfin-like
Sb04g022813	C3H
Sb06g017190	NAC
Sb03g033160	MYB
Sb03g039380	Homeobox
Sb01g006790	Homeobox
Sb0088s002210	MYB
Sb01g036180	WRKY
Sb03g000530	ARF
Sb03g040160	MYB
Sb10g008000	bHLH
Sb08g004860	NAC
Sb02g022280	WRKY
Sb03g030050	bZIP
Sb10g007420	MYB-related
Sb09g029560	MYB-related
Sb10g022530	bHLH
Sb05g027795	GRAS
Sb08g001940	NAC
Sb03g013650	MADS
Sb03g027570	MADS
Sb02g040790	HSF
Sb03g033260	ABI3-VP1
Sb10g000101	NAC
Sb06g025420	NLP
Sb07g027790	EIL
Sb10g002725	Orphans
Sb04g023220	Alfin-like
Sb05g027786	GRAS
Sb01g037520	bZIP
Sb01g020555	AP2-EREBP
Sb06g031060	ZIM
Sb07g002900	bHLH
Sb03g004090	G2-like
Sb10g028630	Homeobox
Sb08g016620	MYB
Sb07g006200	AP2-EREBP
Sb01g014490	ABI3-VP1
Sb08g019940	G2-like
Sb01g029000	Homeobox
Sb08g003700	CCAAT
Sb03g044630	ARF
Sb07g001250	MADS
Sb06g028750	bHLH
Sb06g019020	MYB
Sb01g008160	PHD
Sb04g006240	PHD
Sb04g001900	PHD
Sb03g003580	PHD
Sb10g008030	TCP
Sb04g005940	MYB
Sb07g016330	WRKY
Sb07g015390	Orphans
Sb04g010313	MYB
Sb01g033020	ZIM
Sb01g038820	Orphans
Sb03g043520	MADS
Sb05g027770	GRAS
Sb03g004290	bZIP
Sb04g005620	Homeobox
Sb07g028850	C2C2-Dof
Sb05g027810	GRAS
Sb03g040970	bZIP
Sb04g034370	GeBP
Sb08g000330	C2C2-Dof
Sb01g042840	MADS
Sb02g041910	Orphans
Sb09g020340	G2-like
Sb06g023130	TCP
Sb06g024000	Homeobox
Sb09g024220	CCAAT
Sb03g025770	HSF
Sb06g000610	GeBP
Sb02g002200	Homeobox
Sb01g008950	ZIM
Sb02g042210	TUB
Sb01g000330	Orphans
Sb05g026245	GRAS
Sb08g005290	MYB
Sb05g001215	MYB
Sb06g017920	Trihelix
Sb06g024530	AP2-EREBP
Sb08g006300	ARR-B
Sb02g026310	GeBP
Sb04g024690	AP2-EREBP
Sb06g031290	SBP
Sb10g023420	bZIP
Sb06g022810	ARF
Sb09g029120	MADS
Sb02g023650	Homeobox
Sb05g022380	C2C2-GATA
Sb09g006220	bHLH
Sb07g004080	C3H
Sb07g001550	NAC
Sb02g030660	Homeobox
Sb02g002760	bHLH
Sb02g029310	MADS
Sb03g032760	Orphans
Sb03g001730	bHLH
Sb03g037300	bZIP
Sb06g031880	Homeobox
Sb04g029990	ARID
Sb01g014600	ABI3-VP1
Sb01g014450	ABI3-VP1
Sb02g003070	TCP
Sb09g023830	G2-like
Sb06g031840	Orphans
Sb05g027360	MYB
Sb06g030700	Homeobox
Sb01g045420	AP2-EREBP
Sb03g011495	ZF-HD
Sb08g020600	bZIP
Sb08g005892	MADS
Sb04g001010	Orphans
Sb02g043420	MYB
Sb05g026843	AP2-EREBP
Sb04g003610	Homeobox
Sb03g042110	AP2-EREBP
Sb08g005080	WRKY
Sb04g038600	bZIP
Sb07g005540	CCAAT
Sb02g036250	MYB
Sb02g043000	ABI3-VP1
Sb02g026590	HSF
Sb02g043040	Orphans
Sb02g033830	MYB
Sb09g006196	bHLH
Sb07g027810	bHLH
Sb03g002660	Homeobox
Sb02g029550	AP2-EREBP
Sb03g038180	WRKY
Sb09g028450	ARF
Sb07g026180	MADS
Sb09g025310	Orphans
Sb09g020750	NAC
Sb05g000230	Orphans
Sb01g032590	CCAAT
Sb03g031000	NAC
Sb10g024400	ARID
Sb02g036390	Orphans
Sb09g002520	Homeobox
Sb03g000666	ABI3-VP1
Sb01g009480	Homeobox
Sb06g021480	C2C2-CO-like
Sb01g049080	bHLH
Sb08g014320	ARF
Sb02g006980	Alfin-like
Sb08g001520	NAC
Sb02g010040	Orphans
Sb07g000900	bHLH
Sb03g029330	Homeobox
Sb05g008650	bZIP
Sb04g005900	Trihelix
Sb01g022100	NAC
Sb03g039000	CCAAT
Sb03g030997	NAC
Sb06g032480	C3H
Sb09g020690	AP2-EREBP
Sb02g028460	MYB-related
Sb07g021210	MYB
Sb01g048020	Orphans
Sb08g019887	ABI3-VP1
Sb07g005060	CCAAT
Sb01g035360	TUB
Sb02g036940	C2C2-YABBY
Sb06g000890	E2F-DP
Sb02g042990	bZIP
Sb03g028170	MYB-related
Sb01g012460	MYB-related
Sb01g040280	AP2-EREBP
Sb03g033780	WRKY
Sb03g035080	C2C2-Dof
Sb05g007135	AP2-EREBP
Sb04g009180	NAC
Sb02g002410	MADS
Sb05g001580	NAC
Sb10g005020	MYB-related
Sb07g003330	MYB-related
Sb05g001220	WRKY
Sb06g027540	Trihelix
Sb03g025130	NLP
Sb03g035820	NAC
Sb02g032220	NAC
Sb01g017120	Trihelix
Sb01g018770	Orphans
Sb01g013400	Orphans
Sb08g020270	WRKY
Sb01g035270	Orphans
Sb08g019530	AP2-EREBP
Sb07g021420	MYB
Sb09g025500	ARF
Sb09g004140	AP2-EREBP
Sb09g025950	C2C2-GATA
Sb03g010960	MYB
Sb09g024090	G2-like
Sb10g001107	PHD
Sb09g008870	JUMONJI
Sb02g023940	PHD
Sb01g008570	bHLH
Sb02g005710	Orphans
Sb07g022180	AP2-EREBP
Sb10g030470	bHLH
Sb09g016550	AP2-EREBP
Sb06g002010	Orphans
Sb03g039840	Homeobox
Sb07g020410	NLP
Sb09g002370	Trihelix
Sb10g000780	ABI3-VP1
Sb06g025900	AP2-EREBP
Sb07g023803	AP2-EREBP
Sb02g018870	bZIP
Sb05g023912	MADS
Sb04g003450	Homeobox
Sb01g045690	bHLH
Sb05g027800	GRAS
Sb02g028660	Orphans
Sb03g013360	TCP
Sb05g007280	CCAAT
Sb02g037890	GRAS
Sb08g022276	C2C2-GATA
Sb02g028750	NAC
Sb07g007373	MADS
Sb07g024020	Orphans
Sb04g029080	Homeobox
Sb03g000400	G2-like
Sb10g021360	G2-like
Sb07g027250	AP2-EREBP
Sb03g046010	Orphans
Sb07g001792	MYB-related
Sb02g029460	NAC
Sb02g031190	MYB
Sb01g032710	CCAAT-HAP2
Sb07g022920	bHLH
Sb09g026770	Orphans
Sb01g029350	MYB-related
Sb01g005690	C2C2-GATA
Sb03g047350	WRKY
Sb01g023300	ZIM
Sb07g028990	MYB
Sb01g015920	MYB
Sb01g000352	AP2-EREBP
Sb10g005650	bHLH
Sb05g023890	MADS
Sb09g025430	TUB
Sb07g020910	ZIM
Sb03g032800	WRKY
Sb03g032580	Orphans
Sb05g017510	SBP
Sb01g009820	CCAAT
Sb03g037085	AP2-EREBP
Sb01g050010	MYB-related
Sb02g030310	AP2-EREBP
Sb04g033390	Trihelix
Sb10g005580	ARR-B
Sb07g015450	bZIP
Sb01g001830	NAC
Sb01g006410	NAC
Sb01g027430	Homeobox
Sb04g033240	WRKY
Sb03g034810	VOZ
Sb06g025530	Orphans
Sb01g047650	Orphans
Sb04g032720	Orphans
Sb03g044320	TCP
Sb03g019411	TCP
Sb01g003110	GRAS
Sb06g031900	ARF
Sb02g034320	C2C2-Dof
Sb10g029190	SBP
Sb09g016220	MADS
Sb02g037660	WRKY
Sb08g019882	ABI3-VP1
Sb01g013270	C2C2-YABBY
Sb03g033640	WRKY
Sb06g026370	ABI3-VP1
Sb05g001200	WRKY
Sb03g033750	HSF
Sb01g005250	HSF
Sb02g013020	TCP
Sb02g033850	Orphans
Sb09g006050	C3H
Sb03g005250	bHLH
Sb08g001190	GRAS
Sb10g024575	Orphans
Sb08g022960	Homeobox
Sb07g020090	AP2-EREBP
Sb02g030330	AP2-EREBP
Sb05g026260	GRAS
Sb08g004340	C2C2-GATA
Sb01g045500	CCAAT-HAP2
Sb03g036100	bHLH
Sb01g042090	AP2-EREBP
Sb08g003940	bZIP
Sb03g003370	WRKY
Sb01g048710	bZIP
Sb06g031970	G2-like
Sb01g045180	ZIM
Sb09g029050	WRKY
Sb01g043110	ABI3-VP1
Sb04g020150	AP2-EREBP
Sb03g006590	AP2-EREBP
Sb05g007010	Alfin-like
Sb09g022810	CCAAT
Sb01g015610	C2C2-Dof
Sb09g020110	SBP
Sb09g002390	C3H
Sb02g036710	C3H
Sb06g027465	GRF
Sb02g006730	MADS
Sb06g027180	MYB
